trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,trans_num,unix_time,merch_lat,merch_long,is_fraud,trans_hour,trans_day_of_week,trans_month,age_at_transaction,distance_km,cc_num_masked,rejection_reason,run_id
2020-06-21 12:18:54,4906628655840914250,fraud_Hickle Group,shopping_pos,2.33,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,00da72495351ce6bd9ecb75d51cca89b,1371817134,24.306325,-81.065169,0,12,6,6,33,50.4,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 13:07:39,4906628655840914250,"fraud_Dare, Fritsch and Zboncak",health_fitness,133.84,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,3d9306d075b6b52268ba7c890be3b74a,1371820059,24.630585,-80.80667700000001,0,13,6,6,33,58.25,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 14:50:15,4906628655840914250,fraud_Brown-Greenholt,entertainment,15.67,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,859d5e3f41cc40a4b9dcec189d2694d3,1371826215,25.562625,-81.812661,0,14,6,6,33,109.76,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 15:07:54,4906628655840914250,"fraud_Lehner, Reichert and Mills",misc_pos,51.77,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,14935285454fc6665d27efdaf0f3f64a,1371827274,25.518574,-80.632059,0,15,6,6,33,122.13,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 15:20:04,4906628655840914250,"fraud_Cole, Hills and Jewess",home,33.85,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,897f9c6381538de4e6e4688e53cb4ca9,1371828004,24.170971,-81.546245,0,15,6,6,33,56.39,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 16:44:54,4906628655840914250,fraud_Larkin Ltd,kids_pets,171.63,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,f187288c58d722a27d01bb62a8d0d356,1371833094,25.646184,-82.214835,0,16,6,6,33,138.38,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 17:10:05,4742883543039288059,"fraud_Lowe, Dietrich and Erdman",kids_pets,11.45,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",794ca0e7f6bb113ee8bd31bea6380fe1,1371834605,20.733607,-156.139388,0,17,6,6,29,112.29,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 20:15:19,4906628655840914250,fraud_Dietrich-Fadel,health_fitness,48.19,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,c11dedad3461d7830f47bb3abc55d814,1371845719,25.116716,-81.14623,0,20,6,6,33,56.53,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 21:10:46,4906628655840914250,fraud_Waelchi-Wolf,kids_pets,206.59,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,17a21d002e2f82c6b9ef9ab730f521f2,1371849046,25.245577,-81.290185,0,21,6,6,33,66.25,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-21 23:48:31,4906628655840914250,fraud_Heaney-Marquardt,entertainment,29.78,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,41d48c20706178d6ae2db346321be566,1371858511,24.082254,-81.64401099999999,0,23,6,6,33,69.05,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 01:40:48,4906628655840914250,fraud_Bins-Rice,gas_transport,65.27,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,bb3932438a25731ccc57946ca865fd3b,1371865248,24.642535,-81.85002800000001,0,1,0,6,33,47.28,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 03:28:15,4906628655840914250,"fraud_Osinski, Ledner and Leuschke",grocery_pos,39.26,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,c61df3c6d1847c9b37427389daaf9ac8,1371871695,24.827857,-82.138222,0,3,0,6,33,78.69,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 04:28:36,4906628655840914250,fraud_Murray Ltd,grocery_net,67.92,M,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,678fdb447bdcf287c8cd35c28022548e,1371875316,24.7807,-80.414869,0,4,0,6,33,98.71,693e778e2364b987156d8d13d0772ff79354ac255b771dd207b1f2e9f05455c8,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 07:58:44,4225990116481262579,"fraud_Osinski, Ledner and Leuschke",grocery_pos,98.5,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,6109f730612b3219c1f70dd4a348790a,1371887924,19.836565,-154.713291,0,7,0,6,53,85.47,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 11:40:41,4742883543039288059,fraud_Bartoletti-Wunsch,gas_transport,31.82,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",b9628877f230d492dc20ba9b830b087d,1371901241,20.750532,-156.213845,0,11,0,6,29,119.21,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 12:20:37,4225990116481262579,fraud_Osinski Inc,personal_care,9.44,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,d9448f864fdf62abd8adddf47d38c3e8,1371903637,19.163455,-156.2798,0,12,0,6,53,131.63,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 12:42:22,4742883543039288059,fraud_Bernhard-Lesch,food_dining,51.21,F,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",091843d18cd0b47246748856719c91cb,1371904942,19.443686,-154.762687,0,12,0,6,29,90.8,a2b6d36b7b2751e0e58cfde3cd0d1f201c0eb337b58543a78fe9937a2d7ebf51,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
2020-06-22 14:47:03,4225990116481262579,fraud_Wuckert-Goldner,home,39.12,M,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,abaced21882d0b7cb1fd457ede7e3370,1371912423,20.068742,-156.190834,0,14,0,6,53,73.42,5849933e8f20d5783aa66769a64273d059aed22c6364537c22110f2660d584df,invalid_coordinates; invalid_merch_coordinates,5cbfb83a-975d-4b3e-bffe-22d56b63f2ea
